Time,Longitude,Latitude,CW Channel,CW RSSI (dB)
2023-10-10T02:24:36.211,,,44740,-117.85
2023-10-10T02:24:36.217,,,45140,-117.66
2023-10-10T02:24:36.222,,,45390,-116.52
2023-10-10T02:24:36.227,,,44590,-118.12
2023-10-10T02:24:36.233,,,45440,-117.19
2023-10-10T02:24:36.240,,,44990,-117.17
2023-10-10T02:24:36.248,,,44840,-116.48
2023-10-10T02:24:36.253,,,45490,-117.11
2023-10-10T02:24:36.256,,,45190,-116.71
2023-10-10T02:24:36.262,,,44890,-116.55
2023-10-10T02:24:36.267,,,45040,-117.09
2023-10-10T02:24:36.272,,,45240,-116.56
2023-10-10T02:24:36.278,,,44690,-116.54
2023-10-10T02:24:36.291,,,45290,-117.69
2023-10-10T02:24:36.294,,,44790,-117.37
2023-10-10T02:24:36.299,,,44940,-116.35
2023-10-10T02:24:36.301,,,45540,-116.91
2023-10-10T02:24:36.306,,,45090,-117.24
2023-10-10T02:24:36.311,,,45340,-117.75
2023-10-10T02:24:36.316,,,44640,-117.29
2023-10-10T02:24:36.322,,,44740,-118.12
2023-10-10T02:24:36.327,,,45140,-117.62
2023-10-10T02:24:36.333,,,45390,-117.44
2023-10-10T02:24:36.339,,,44590,-117.34
2023-10-10T02:24:36.345,,,45440,-117.15
2023-10-10T02:24:36.352,,,44990,-117.24
2023-10-10T02:24:36.356,,,44840,-117.62
2023-10-10T02:24:36.363,,,45490,-116.02
2023-10-10T02:24:36.370,,,45190,-116.53
2023-10-10T02:24:36.374,,,44890,-117.58
2023-10-10T02:24:36.382,,,45040,-117.28
2023-10-10T02:24:36.385,,,45240,-116.56
2023-10-10T02:24:36.392,,,44690,-118.05
2023-10-10T02:24:36.395,,,45290,-117.1
2023-10-10T02:24:36.404,,,44790,-118.44
2023-10-10T02:24:36.407,,,44940,-116.67
2023-10-10T02:24:36.415,,,45540,-115.86
2023-10-10T02:24:36.418,,,45090,-117.62
2023-10-10T02:24:36.423,,,45340,-117.02
2023-10-10T02:24:36.428,,,44640,-116.11
2023-10-10T02:24:36.436,,,44740,-118.01
2023-10-10T02:24:36.440,,,45140,-116.24
2023-10-10T02:24:36.446,,,45390,-116.96
2023-10-10T02:24:36.451,,,44590,-118.14
2023-10-10T02:24:36.458,,,45440,-117.21
2023-10-10T02:24:36.462,,,44990,-117.46
2023-10-10T02:24:36.471,,,44840,-116.39
2023-10-10T02:24:36.476,,,45490,-116.65
2023-10-10T02:24:36.479,,,45190,-117.72
2023-10-10T02:24:36.485,,,44890,-117.6
2023-10-10T02:24:36.491,,,45040,-117.49
2023-10-10T02:24:36.496,,,45240,-116.5
2023-10-10T02:24:36.503,,,44690,-117.19
2023-10-10T02:24:36.507,,,45290,-116.23
2023-10-10T02:24:36.525,,,44790,-117.08
2023-10-10T02:24:36.529,,,44940,-116.71
2023-10-10T02:24:36.531,,,45540,-115.27
2023-10-10T02:24:36.534,,,45090,-117.04
2023-10-10T02:24:36.536,,,45340,-117.63
2023-10-10T02:24:36.541,,,44640,-118.42
2023-10-10T02:24:36.547,,,44740,-117.39
2023-10-10T02:24:36.553,,,45140,-118.49
2023-10-10T02:24:36.557,,,45390,-116.92
2023-10-10T02:24:36.564,,,44590,-118.71
2023-10-10T02:24:36.569,,,45440,-116.48
2023-10-10T02:24:36.575,,,44990,-118.22
2023-10-10T02:24:36.580,,,44840,-116.43
2023-10-10T02:24:36.587,,,45490,-115.79
2023-10-10T02:24:36.592,,,45190,-116.29
2023-10-10T02:24:36.598,,,44890,-118.2
2023-10-10T02:24:36.604,,,45040,-115.83
2023-10-10T02:24:36.611,,,45240,-117.83
2023-10-10T02:24:36.615,,,44690,-116.89
2023-10-10T02:24:36.622,,,45290,-117.54
2023-10-10T02:24:36.626,,,44790,-117.06
2023-10-10T02:24:36.633,,,44940,-117.18
2023-10-10T02:24:36.637,,,45540,-117.44
2023-10-10T02:24:36.646,,,45090,-117.05
2023-10-10T02:24:36.648,,,45340,-117.2
2023-10-10T02:24:36.655,,,44640,-117.86
2023-10-10T02:24:36.660,,,44740,-116.87
2023-10-10T02:24:36.665,,,45140,-117.94
2023-10-10T02:24:36.673,,,45390,-116.37
2023-10-10T02:24:36.678,,,44590,-117.83
2023-10-10T02:24:36.682,,,45440,-116.76
2023-10-10T02:24:36.687,,,44990,-115.86
2023-10-10T02:24:36.695,,,44840,-117.14
2023-10-10T02:24:36.698,,,45490,-116.38
2023-10-10T02:24:36.705,,,45190,-117.53
2023-10-10T02:24:36.710,,,44890,-116.64
2023-10-10T02:24:36.715,,,45040,-118.45
2023-10-10T02:24:36.723,,,45240,-117.93
2023-10-10T02:24:36.728,,,44690,-115.75
2023-10-10T02:24:36.732,,,45290,-118.16
2023-10-10T02:24:36.738,,,44790,-116.26
2023-10-10T02:24:36.743,,,44940,-116.81
2023-10-10T02:24:36.752,,,45540,-115.25
2023-10-10T02:24:36.756,,,45090,-118.12
2023-10-10T02:24:36.782,,,45340,-117.48
2023-10-10T02:24:36.785,,,44640,-118.07
2023-10-10T02:24:36.787,,,44740,-117.57
2023-10-10T02:24:36.791,,,45140,-118.53
2023-10-10T02:24:36.796,,,45390,-116.79
2023-10-10T02:24:36.799,,,44590,-117.83
2023-10-10T02:24:36.800,,,45440,-117.54
2023-10-10T02:24:36.801,,,44990,-117.19
2023-10-10T02:24:36.806,,,44840,-117.77
2023-10-10T02:24:36.810,,,45490,-114.15
2023-10-10T02:24:36.817,,,45190,-116.67
2023-10-10T02:24:36.823,,,44890,-115.78
2023-10-10T02:24:36.829,,,45040,-116.5
2023-10-10T02:24:36.833,,,45240,-116.57
2023-10-10T02:24:36.840,,,44690,-116
2023-10-10T02:24:36.845,,,45290,-118.71
2023-10-10T02:24:36.853,,,44790,-118.08
2023-10-10T02:24:36.856,,,44940,-117.29
2023-10-10T02:24:36.864,,,45540,-116.03
2023-10-10T02:24:36.867,,,45090,-117.3
2023-10-10T02:24:36.873,,,45340,-116.01
2023-10-10T02:24:36.879,,,44640,-117.56
2023-10-10T02:24:36.885,,,44740,-118.18
2023-10-10T02:24:36.891,,,45140,-118.19
2023-10-10T02:24:36.895,,,45390,-117.11
2023-10-10T02:24:36.901,,,44590,-117.81
2023-10-10T02:24:36.907,,,45440,-117.06
2023-10-10T02:24:36.914,,,44990,-117.79
2023-10-10T02:24:36.918,,,44840,-117.4
2023-10-10T02:24:36.924,,,45490,-116.51
2023-10-10T02:24:36.929,,,45190,-117.85
2023-10-10T02:24:36.935,,,44890,-116.77
2023-10-10T02:24:36.940,,,45040,-117.1
2023-10-10T02:24:36.946,,,45240,-116.6
2023-10-10T02:24:36.957,,,44690,-117.67
2023-10-10T02:24:36.959,,,45290,-118.2
2023-10-10T02:24:36.963,,,44790,-116.32
2023-10-10T02:24:36.970,,,44940,-118.01
2023-10-10T02:24:36.973,,,45540,-114.87
2023-10-10T02:24:36.981,,,45090,-116.75
2023-10-10T02:24:36.986,,,45340,-116.86
2023-10-10T02:24:36.992,,,44640,-117.79
2023-10-10T02:24:36.997,,,44740,-117.79
2023-10-10T02:24:37.005,,,45140,-117.6
2023-10-10T02:24:37.009,,,45390,-116.62
2023-10-10T02:24:37.015,,,44590,-117.57
2023-10-10T02:24:37.018,,,45440,-115.88
2023-10-10T02:24:37.027,,,44990,-118.15
2023-10-10T02:24:37.029,,,44840,-118.34
2023-10-10T02:24:37.037,,,45490,-116.03
2023-10-10T02:24:37.041,,,45190,-117.62
2023-10-10T02:24:37.049,,,44890,-118.16
2023-10-10T02:24:37.052,,,45040,-116.57
2023-10-10T02:24:37.059,,,45240,-116.87
2023-10-10T02:24:37.064,,,44690,-118.51
2023-10-10T02:24:37.072,,,45290,-117.12
2023-10-10T02:24:37.076,,,44790,-116.97
2023-10-10T02:24:37.081,,,44940,-117.98
2023-10-10T02:24:37.087,,,45540,-114.92
2023-10-10T02:24:37.095,,,45090,-116.65
2023-10-10T02:24:37.097,,,45340,-116.05
2023-10-10T02:24:37.103,,,44640,-117.29
2023-10-10T02:24:37.109,,,44740,-117.17
2023-10-10T02:24:37.116,,,45140,-118.05
2023-10-10T02:24:37.121,,,45390,-117.01
2023-10-10T02:24:37.128,,,44590,-117
2023-10-10T02:24:37.131,,,45440,-116.35
2023-10-10T02:24:37.137,,,44990,-117.73
2023-10-10T02:24:37.142,,,44840,-116.36
2023-10-10T02:24:37.168,,,45490,-116.48
2023-10-10T02:24:37.170,,,45190,-117.44
2023-10-10T02:24:37.174,,,44890,-117.66
2023-10-10T02:24:37.176,,,45040,-117.16
2023-10-10T02:24:37.178,,,45240,-117.96
2023-10-10T02:24:37.185,,,44690,-117.78
2023-10-10T02:24:37.189,,,45290,-118.59
2023-10-10T02:24:37.194,,,44790,-117.12
2023-10-10T02:24:37.196,,,44940,-116.51
2023-10-10T02:24:37.199,,,45540,-116.87
2023-10-10T02:24:37.202,,,45090,-116.65
2023-10-10T02:24:37.208,,,45340,-117.45
2023-10-10T02:24:37.213,,,44640,-118.02
2023-10-10T02:24:37.220,,,44740,-115.98
2023-10-10T02:24:37.225,,,45140,-116.54
2023-10-10T02:24:37.231,,,45390,-118.02
2023-10-10T02:24:37.237,,,44590,-116.58
2023-10-10T02:24:37.242,,,45440,-117.68
2023-10-10T02:24:37.248,,,44990,-118.65
2023-10-10T02:24:37.253,,,44840,-116.74
2023-10-10T02:24:37.259,,,45490,-116.19
2023-10-10T02:24:37.265,,,45190,-116.81
2023-10-10T02:24:37.271,,,44890,-117.37
2023-10-10T02:24:37.276,,,45040,-117.84
2023-10-10T02:24:37.281,,,45240,-118.41
2023-10-10T02:24:37.287,,,44690,-117.29
2023-10-10T02:24:37.294,,,45290,-116.72
2023-10-10T02:24:37.299,,,44790,-116.4
2023-10-10T02:24:37.303,,,44940,-117.47
2023-10-10T02:24:37.310,,,45540,-117.75
2023-10-10T02:24:37.314,,,45090,-116.06
2023-10-10T02:24:37.322,,,45340,-118.47
2023-10-10T02:24:37.326,,,44640,-116.74
2023-10-10T02:24:37.333,,,44740,-117.12
2023-10-10T02:24:37.338,,,45140,-116.08
2023-10-10T02:24:37.347,,,45390,-117.44
2023-10-10T02:24:37.351,,,44590,-117.53
2023-10-10T02:24:37.358,,,45440,-117.51
2023-10-10T02:24:37.360,,,44990,-116.92
2023-10-10T02:24:37.366,,,44840,-116.63
2023-10-10T02:24:37.373,,,45490,-116.3
2023-10-10T02:24:37.378,,,45190,-118.39
2023-10-10T02:24:37.384,,,44890,-118.26
2023-10-10T02:24:37.390,,,45040,-117.52
2023-10-10T02:24:37.395,,,45240,-116.7
2023-10-10T02:24:37.400,,,44690,-116.49
2023-10-10T02:24:37.405,,,45290,-116.9
2023-10-10T02:24:37.413,,,44790,-117.82
2023-10-10T02:24:37.417,,,44940,-117.81
2023-10-10T02:24:37.424,,,45540,-116.58
2023-10-10T02:24:37.429,,,45090,-116.33
2023-10-10T02:24:37.437,,,45340,-117.15
2023-10-10T02:24:37.442,,,44640,-117.88
2023-10-10T02:24:37.444,,,44740,-117.74
2023-10-10T02:24:37.451,,,45140,-118.37
2023-10-10T02:24:37.455,,,45390,-117.6
2023-10-10T02:24:37.462,,,44590,-117.4
2023-10-10T02:24:37.466,,,45440,-117.93
2023-10-10T02:24:37.473,,,44990,-117.81
2023-10-10T02:24:37.478,,,44840,-117.24
2023-10-10T02:24:37.483,,,45490,-116.32
2023-10-10T02:24:37.490,,,45190,-118.44
2023-10-10T02:24:37.495,,,44890,-117.88
2023-10-10T02:24:37.500,,,45040,-117.64
2023-10-10T02:24:37.506,,,45240,-117.85
2023-10-10T02:24:37.511,,,44690,-117.34
2023-10-10T02:24:37.518,,,45290,-116.76
2023-10-10T02:24:37.523,,,44790,-117.65
2023-10-10T02:24:37.532,,,44940,-118.07
2023-10-10T02:24:37.535,,,45540,-115.85
2023-10-10T02:24:37.541,,,45090,-116.99
2023-10-10T02:24:37.546,,,45340,-117.8
2023-10-10T02:24:37.553,,,44640,-117.42
2023-10-10T02:24:37.557,,,44740,-117.92
2023-10-10T02:24:37.563,,,45140,-118.02
2023-10-10T02:24:37.568,,,45390,-117.55
2023-10-10T02:24:37.575,,,44590,-118.59
2023-10-10T02:24:37.581,,,45440,-116.94
2023-10-10T02:24:37.586,,,44990,-118.22
2023-10-10T02:24:37.591,,,44840,-117.07
2023-10-10T02:24:37.599,,,45490,-115.16
2023-10-10T02:24:37.602,,,45190,-117.21
2023-10-10T02:24:37.610,,,44890,-116.14
2023-10-10T02:24:37.614,,,45040,-116.9
2023-10-10T02:24:37.622,,,45240,-117.21
2023-10-10T02:24:37.625,,,44690,-116.49
2023-10-10T02:24:37.631,,,45290,-117.18
2023-10-10T02:24:37.635,,,44790,-117.61
2023-10-10T02:24:37.643,,,44940,-117.4
2023-10-10T02:24:37.647,,,45540,-115.54
2023-10-10T02:24:37.653,,,45090,-118.11
2023-10-10T02:24:37.658,,,45340,-116.93
2023-10-10T02:24:37.662,,,44640,-118.38
2023-10-10T02:24:37.670,,,44740,-116.93
2023-10-10T02:24:37.675,,,45140,-117.07
2023-10-10T02:24:37.681,,,45390,-116.97
2023-10-10T02:24:37.686,,,44590,-118.23
2023-10-10T02:24:37.693,,,45440,-117.13
2023-10-10T02:24:37.698,,,44990,-117.31
2023-10-10T02:24:37.705,,,44840,-117.01
2023-10-10T02:24:37.708,,,45490,-115.7
2023-10-10T02:24:37.715,,,45190,-117.3
2023-10-10T02:24:37.720,,,44890,-117.47
2023-10-10T02:24:37.726,,,45040,-116.84
2023-10-10T02:24:37.731,,,45240,-116.47
2023-10-10T02:24:37.737,,,44690,-117.18
2023-10-10T02:24:37.743,,,45290,-117.05
2023-10-10T02:24:37.749,,,44790,-116.41
2023-10-10T02:24:37.757,,,44940,-118.19
2023-10-10T02:24:37.760,,,45540,-115.07
2023-10-10T02:24:37.769,,,45090,-117.1
2023-10-10T02:24:37.773,,,45340,-117.09
2023-10-10T02:24:37.776,,,44640,-117.65
2023-10-10T02:24:37.783,,,44740,-117.75
2023-10-10T02:24:37.787,,,45140,-117.64
2023-10-10T02:24:37.793,,,45390,-116.25
2023-10-10T02:24:37.798,,,44590,-117.78
2023-10-10T02:24:37.807,,,45440,-115.91
2023-10-10T02:24:37.811,,,44990,-116.77
2023-10-10T02:24:37.814,,,44840,-117.09
2023-10-10T02:24:37.821,,,45490,-116.96
2023-10-10T02:24:37.831,,,45190,-116.72
2023-10-10T02:24:37.833,,,44890,-117.11
2023-10-10T02:24:37.840,,,45040,-117.64
2023-10-10T02:24:37.843,,,45240,-117.53
2023-10-10T02:24:37.848,,,44690,-118.26
2023-10-10T02:24:38.318,,,45290,-117.57
2023-10-10T02:24:38.327,,,44790,-118.14
2023-10-10T02:24:38.330,,,44940,-118.24
2023-10-10T02:24:38.334,,,45540,-116.18
2023-10-10T02:24:38.337,,,45090,-117.53
2023-10-10T02:24:38.340,,,45340,-116.62
2023-10-10T02:24:38.342,,,44640,-117.86
2023-10-10T02:24:38.345,,,44740,-117.05
2023-10-10T02:24:38.349,,,45140,-117.4
2023-10-10T02:24:38.351,,,45390,-116.61
2023-10-10T02:24:38.355,,,44590,-117.77
2023-10-10T02:24:38.356,,,45440,-116.15
2023-10-10T02:24:38.361,,,44990,-116.67
2023-10-10T02:24:38.363,,,44840,-117.13
2023-10-10T02:24:38.367,,,45490,-117.68
2023-10-10T02:24:38.370,,,45190,-117.72
2023-10-10T02:24:38.372,,,44890,-117.93
2023-10-10T02:24:38.374,,,45040,-115.79
2023-10-10T02:24:38.378,,,45240,-117.18
2023-10-10T02:24:38.380,,,44690,-117.19
2023-10-10T02:24:38.382,,,45290,-117.9
2023-10-10T02:24:38.384,,,44790,-117.21
2023-10-10T02:24:38.390,,,44940,-116.44
2023-10-10T02:24:38.391,,,45540,-116.16
2023-10-10T02:24:38.395,,,45090,-117.35
2023-10-10T02:24:38.396,,,45340,-116.52
2023-10-10T02:24:38.400,,,44640,-117.17
2023-10-10T02:24:38.403,,,44740,-115.97
2023-10-10T02:24:38.405,,,45140,-116.51
2023-10-10T02:24:38.408,,,45390,-116.31
2023-10-10T02:24:38.411,,,44590,-118.23
2023-10-10T02:24:38.414,,,45440,-115.17
2023-10-10T02:24:38.418,,,44990,-117.95
2023-10-10T02:24:38.421,,,44840,-117.47
2023-10-10T02:24:38.425,,,45490,-116.21
2023-10-10T02:24:38.427,,,45190,-117.06
2023-10-10T02:24:38.440,,,44890,-116.74
2023-10-10T02:24:38.442,,,45040,-117.05
2023-10-10T02:24:38.448,,,45240,-117.24
2023-10-10T02:24:38.450,,,44690,-116.88
2023-10-10T02:24:38.452,,,45290,-117.55
2023-10-10T02:24:38.455,,,44790,-117.2
2023-10-10T02:24:38.458,,,44940,-117.92
2023-10-10T02:24:38.461,,,45540,-115.55
2023-10-10T02:24:38.463,,,45090,-117.28
2023-10-10T02:24:38.466,,,45340,-115.99
2023-10-10T02:24:38.469,,,44640,-117.05
2023-10-10T02:24:38.472,,,44740,-117.74
2023-10-10T02:24:38.474,,,45140,-118.17
2023-10-10T02:24:38.476,,,45390,-117.51
2023-10-10T02:24:38.480,,,44590,-118.44
2023-10-10T02:24:38.482,,,45440,-116.49
2023-10-10T02:24:38.486,,,44990,-117.11
2023-10-10T02:24:38.487,,,44840,-118.27
2023-10-10T02:24:38.492,,,45490,-115.62
2023-10-10T02:24:38.495,,,45190,-116.62
2023-10-10T02:24:38.497,,,44890,-117.14
2023-10-10T02:24:38.500,,,45040,-117.99
2023-10-10T02:24:38.501,,,45240,-117.98
2023-10-10T02:24:38.506,,,44690,-117.27
2023-10-10T02:24:38.508,,,45290,-116
2023-10-10T02:24:38.511,,,44790,-117.75
2023-10-10T02:24:38.514,,,44940,-116.38
2023-10-10T02:24:38.517,,,45540,-114.53
2023-10-10T02:24:38.519,,,45090,-117.69
2023-10-10T02:24:38.520,,,45340,-117.05
2023-10-10T02:24:38.526,,,44640,-117.56
2023-10-10T02:24:38.527,,,44740,-117.69
2023-10-10T02:24:38.530,,,45140,-117.81
2023-10-10T02:24:38.532,,,45390,-117.6
2023-10-10T02:24:38.536,,,44590,-118.4
2023-10-10T02:24:38.540,,,45440,-115.94
2023-10-10T02:24:38.542,,,44990,-117.68
2023-10-10T02:24:38.546,,,44840,-117.17
2023-10-10T02:24:38.548,,,45490,-115.69
2023-10-10T02:24:38.550,,,45190,-117.19
2023-10-10T02:24:38.553,,,44890,-116.38
2023-10-10T02:24:38.554,,,45040,-117.09
2023-10-10T02:24:38.560,,,45240,-117.84
2023-10-10T02:24:38.562,,,44690,-117.58
2023-10-10T02:24:38.564,,,45290,-118.36
2023-10-10T02:24:38.568,,,44790,-115.46
2023-10-10T02:24:38.571,,,44940,-117.65
2023-10-10T02:24:38.575,,,45540,-115.96
2023-10-10T02:24:38.576,,,45090,-117.05
2023-10-10T02:24:38.579,,,45340,-117.48
2023-10-10T02:24:38.582,,,44640,-117.41
2023-10-10T02:24:38.585,,,44740,-117.77
2023-10-10T02:24:38.588,,,45140,-118.27
2023-10-10T02:24:38.590,,,45390,-118
2023-10-10T02:24:38.593,,,44590,-117.47
2023-10-10T02:24:38.597,,,45440,-117.39
2023-10-10T02:24:38.599,,,44990,-117.15
2023-10-10T02:24:38.602,,,44840,-116.46
2023-10-10T02:24:38.604,,,45490,-115.77
2023-10-10T02:24:38.607,,,45190,-117
2023-10-10T02:24:38.610,,,44890,-117.71
2023-10-10T02:24:38.612,,,45040,-116.42
2023-10-10T02:24:38.617,,,45240,-116.99
2023-10-10T02:24:38.619,,,44690,-117.88
2023-10-10T02:24:38.622,,,45290,-118.02
2023-10-10T02:24:38.624,,,44790,-117.89
2023-10-10T02:24:38.627,,,44940,-117.56
2023-10-10T02:24:38.630,,,45540,-116.01
2023-10-10T02:24:38.633,,,45090,-117.49
2023-10-10T02:24:38.635,,,45340,-117.06
2023-10-10T02:24:38.640,,,44640,-118.66
2023-10-10T02:24:38.642,,,44740,-117.39
2023-10-10T02:24:38.643,,,45140,-117.47
2023-10-10T02:24:38.646,,,45390,-116.39
2023-10-10T02:24:38.648,,,44590,-117.88
2023-10-10T02:24:38.653,,,45440,-116.81
2023-10-10T02:24:38.656,,,44990,-117.26
2023-10-10T02:24:38.658,,,44840,-115.82
2023-10-10T02:24:38.661,,,45490,-115.1
2023-10-10T02:24:38.668,,,45190,-118.24
2023-10-10T02:24:38.671,,,44890,-117.13
2023-10-10T02:24:38.674,,,45040,-117.41
2023-10-10T02:24:38.676,,,45240,-116.72
2023-10-10T02:24:38.680,,,44690,-116.72
2023-10-10T02:24:38.682,,,45290,-117.07
2023-10-10T02:24:38.686,,,44790,-117.57
2023-10-10T02:24:38.688,,,44940,-117.61
2023-10-10T02:24:38.691,,,45540,-115.5
2023-10-10T02:24:38.693,,,45090,-117.04
2023-10-10T02:24:38.697,,,45340,-117.49
2023-10-10T02:24:38.700,,,44640,-118.21
2023-10-10T02:24:38.703,,,44740,-118.24
2023-10-10T02:24:38.704,,,45140,-118.25
2023-10-10T02:24:38.708,,,45390,-117.3
2023-10-10T02:24:38.710,,,44590,-117.5
2023-10-10T02:24:38.712,,,45440,-116.78
2023-10-10T02:24:38.715,,,44990,-117.07
2023-10-10T02:24:38.719,,,44840,-117.92
2023-10-10T02:24:38.721,,,45490,-117.29
2023-10-10T02:24:38.724,,,45190,-117.92
2023-10-10T02:24:38.726,,,44890,-117.03
2023-10-10T02:24:38.730,,,45040,-117.57
2023-10-10T02:24:38.732,,,45240,-116.62
2023-10-10T02:24:38.735,,,44690,-118.47
2023-10-10T02:24:38.738,,,45290,-118.14
2023-10-10T02:24:38.741,,,44790,-116.88
2023-10-10T02:24:38.744,,,44940,-116.58
2023-10-10T02:24:38.747,,,45540,-115.7
2023-10-10T02:24:38.750,,,45090,-116.57
2023-10-10T02:24:38.753,,,45340,-117.07
2023-10-10T02:24:38.755,,,44640,-117.34
2023-10-10T02:24:38.757,,,44740,-116.57
2023-10-10T02:24:38.760,,,45140,-117.39
2023-10-10T02:24:38.764,,,45390,-116.79
2023-10-10T02:24:38.766,,,44590,-117.72
2023-10-10T02:24:38.772,,,45440,-117.16
2023-10-10T02:24:38.775,,,44990,-117.83
2023-10-10T02:24:38.778,,,44840,-116.88
2023-10-10T02:24:38.781,,,45490,-117.02
2023-10-10T02:24:38.785,,,45190,-117.16
2023-10-10T02:24:38.788,,,44890,-117.48
2023-10-10T02:24:38.789,,,45040,-117.07
2023-10-10T02:24:38.791,,,45240,-116.93
2023-10-10T02:24:38.795,,,44690,-117.09
2023-10-10T02:24:38.796,,,45290,-117.21
2023-10-10T02:24:38.799,,,44790,-117.32
2023-10-10T02:24:38.807,,,44940,-117.84
2023-10-10T02:24:38.811,,,45540,-116.71
2023-10-10T02:24:38.813,,,45090,-116.7
2023-10-10T02:24:38.815,,,45340,-117.89
2023-10-10T02:24:38.818,,,44640,-117.6
2023-10-10T02:24:38.820,,,44740,-118.34
2023-10-10T02:24:38.823,,,45140,-116.94
2023-10-10T02:24:38.826,,,45390,-117.52
2023-10-10T02:24:38.829,,,44590,-117.71
2023-10-10T02:24:38.832,,,45440,-117.38
2023-10-10T02:24:38.835,,,44990,-118.13
2023-10-10T02:24:38.836,,,44840,-117.69
2023-10-10T02:24:38.839,,,45490,-115.79
2023-10-10T02:24:38.843,,,45190,-117
2023-10-10T02:24:38.844,,,44890,-117.85
2023-10-10T02:24:38.848,,,45040,-117.68
2023-10-10T02:24:38.853,,,45240,-118.61
2023-10-10T02:24:38.858,,,44690,-117.12
2023-10-10T02:24:38.864,,,45290,-117.05
2023-10-10T02:24:38.869,,,44790,-117.9
2023-10-10T02:24:38.874,,,44940,-116.61
2023-10-10T02:24:38.880,,,45540,-116.05
2023-10-10T02:24:38.886,,,45090,-117.23
2023-10-10T02:24:38.891,,,45340,-116.91
2023-10-10T02:24:38.895,,,44640,-116.7
2023-10-10T02:24:38.903,,,44740,-117.12
2023-10-10T02:24:38.907,,,45140,-117.24
2023-10-10T02:24:38.916,,,45390,-117.54
2023-10-10T02:24:38.919,,,44590,-118.75
2023-10-10T02:24:38.928,,,45440,-116.24
2023-10-10T02:24:38.931,,,44990,-116.74
2023-10-10T02:24:38.937,,,44840,-116.76
2023-10-10T02:24:38.942,,,45490,-115.93
2023-10-10T02:24:38.950,,,45190,-117.56
2023-10-10T02:24:38.953,,,44890,-117.6
2023-10-10T02:24:38.959,,,45040,-117.31
2023-10-10T02:24:38.964,,,45240,-118.65
2023-10-10T02:24:38.970,,,44690,-117.2
2023-10-10T02:24:38.976,,,45290,-117.36
2023-10-10T02:24:38.983,,,44790,-117.88
2023-10-10T02:24:38.988,,,44940,-116.42
2023-10-10T02:24:38.994,,,45540,-116.34
2023-10-10T02:24:38.999,,,45090,-116.88
2023-10-10T02:24:39.007,,,45340,-117.55
2023-10-10T02:24:39.010,,,44640,-117.39
2023-10-10T02:24:39.016,,,44740,-118.35
